case_id,slope_min_GPa,slope_max_GPa,proof_min_GPa,proof_max_GPa,averaged_peak_min_GPa,averaged_peak_max_GPa,configurations,missing_proof_results
eq,132.0461525203386,137.37752552257888,3.9802746995202565,4.609951567384717,5.108029180150135,5.25312875597326,60,0
zr24,125.90660765444149,131.280468076238,3.7222509758911113,4.436112968675953,4.91108319436979,5.00605727384936,60,0
zr28,122.45511497743695,125.59144700580251,3.705842684336427,4.476840666370397,4.857159811879948,4.96721503734773,60,0
hf16,134.3605588677925,138.09654287789988,4.243032808012091,4.92196020549417,5.524788027609976,5.64690051427443,60,0
hf12,135.9562400285071,139.40331422738913,4.327102948481651,4.962674010337319,5.66332908461307,5.80298557484108,60,0
ta16,125.72591946629784,132.66304918470846,3.1020531327981393,4.246446829067146,4.477471694275468,4.69088472347828,60,0
ta12,117.35300605748161,123.33177511650726,3.432624207004327,4.068064215514525,4.063104809785837,4.17166611306709,60,3
nb24,140.3983192053813,148.0399380725942,3.9818941879819763,5.194907536291276,5.641368176195948,5.77899793087597,60,0
nb28,148.64450453937422,156.87637838066985,4.34677776062962,5.445310937823156,6.247520714378323,6.3858758238348,60,0
