case_id,fit_max,smooth_points,confirm_points,slope_GPa,proof_status,proof_GPa,proof_strain,averaged_peak_GPa
eq,0.01,1,1,137.37752552257888,found,3.998562138081487,0.031487648270792826,5.25312875597326
eq,0.01,1,3,137.37752552257888,found,4.153095908102378,0.03261253219509595,5.25312875597326
eq,0.01,1,5,137.37752552257888,found,4.389882455838111,0.03433615144675307,5.25312875597326
eq,0.01,11,1,137.37752552257888,found,4.318635294718582,0.03381752832518709,5.160670781491379
eq,0.01,11,3,137.37752552257888,found,4.318635294718582,0.03381752832518709,5.160670781491379
eq,0.01,11,5,137.37752552257888,found,4.318635294718582,0.03381752832518709,5.160670781491379
eq,0.01,21,1,137.37752552257888,found,4.27257588057578,0.033482252129407655,5.131253284588891
eq,0.01,21,3,137.37752552257888,found,4.27257588057578,0.033482252129407655,5.131253284588891
eq,0.01,21,5,137.37752552257888,found,4.27257588057578,0.033482252129407655,5.131253284588891
eq,0.01,31,1,137.37752552257888,found,4.2502498835438285,0.03331973648540385,5.108029180150135
eq,0.01,31,3,137.37752552257888,found,4.2502498835438285,0.03331973648540385,5.108029180150135
eq,0.01,31,5,137.37752552257888,found,4.2502498835438285,0.03331973648540385,5.108029180150135
eq,0.015,1,1,137.05251617326584,found,3.990703648924123,0.03149218453607166,5.25312875597326
eq,0.015,1,3,137.05251617326584,found,4.381929198264395,0.034346751239872075,5.25312875597326
eq,0.015,1,5,137.05251617326584,found,4.381929198264395,0.034346751239872075,5.25312875597326
eq,0.015,11,1,137.05251617326584,found,4.319386792041779,0.033890412254139426,5.160670781491379
eq,0.015,11,3,137.05251617326584,found,4.336361503889141,0.03401426778281794,5.160670781491379
eq,0.015,11,5,137.05251617326584,found,4.336361503889141,0.03401426778281794,5.160670781491379
eq,0.015,21,1,137.05251617326584,found,4.287968198306969,0.033661167329550885,5.131253284588891
eq,0.015,21,3,137.05251617326584,found,4.287968198306969,0.033661167329550885,5.131253284588891
eq,0.015,21,5,137.05251617326584,found,4.287968198306969,0.033661167329550885,5.131253284588891
eq,0.015,31,1,137.05251617326584,found,4.2755016583624625,0.033570205555972454,5.108029180150135
eq,0.015,31,3,137.05251617326584,found,4.2755016583624625,0.033570205555972454,5.108029180150135
eq,0.015,31,5,137.05251617326584,found,4.2755016583624625,0.033570205555972454,5.108029180150135
eq,0.02,1,1,136.59949909291953,found,3.9802746995202565,0.03149820458396232,5.25312875597326
eq,0.02,1,3,136.59949909291953,found,4.371316783801977,0.03436089505412078,5.25312875597326
eq,0.02,1,5,136.59949909291953,found,4.432636566674641,0.03480979701408297,5.25312875597326
eq,0.02,11,1,136.59949909291953,found,4.335465814887547,0.034098441903468724,5.160670781491379
eq,0.02,11,3,136.59949909291953,found,4.335465814887547,0.034098441903468724,5.160670781491379
eq,0.02,11,5,136.59949909291953,found,4.335465814887547,0.034098441903468724,5.160670781491379
eq,0.02,21,1,136.59949909291953,found,4.330156661888059,0.03405957534074527,5.131253284588891
eq,0.02,21,3,136.59949909291953,found,4.330156661888059,0.03405957534074527,5.131253284588891
eq,0.02,21,5,136.59949909291953,found,4.330156661888059,0.03405957534074527,5.131253284588891
eq,0.02,31,1,136.59949909291953,found,4.295561482958118,0.03380631541549175,5.108029180150135
eq,0.02,31,3,136.59949909291953,found,4.295561482958118,0.03380631541549175,5.108029180150135
eq,0.02,31,5,136.59949909291953,found,4.295561482958118,0.03380631541549175,5.108029180150135
eq,0.025,1,1,135.05439646754232,found,4.201888468517905,0.03339110416684267,5.25312875597326
eq,0.025,1,3,135.05439646754232,found,4.531032128208045,0.03582822334473809,5.25312875597326
eq,0.025,1,5,135.05439646754232,found,4.609951567384717,0.036412576325765535,5.25312875597326
eq,0.025,11,1,135.05439646754232,found,4.347153037842055,0.034466704614689335,5.160670781491379
eq,0.025,11,3,135.05439646754232,found,4.347153037842055,0.034466704614689335,5.160670781491379
eq,0.025,11,5,135.05439646754232,found,4.347153037842055,0.034466704614689335,5.160670781491379
eq,0.025,21,1,135.05439646754232,found,4.3935661792368075,0.03481036718776156,5.131253284588891
eq,0.025,21,3,135.05439646754232,found,4.3935661792368075,0.03481036718776156,5.131253284588891
eq,0.025,21,5,135.05439646754232,found,4.3935661792368075,0.03481036718776156,5.131253284588891
